id,title,body,category,author_id,created_at
1,Next.js入門,App Routerでページを作る手順のまとめです。,Tech,1,2024-01-10 09:00:00
2,朝活のススメ,30分の散歩で一日の集中力が変わる話。,Life,2,2024-01-12 07:10:00
3,画像最適化の基本,next/imageの使いどころと注意点。,Tech,4,2024-01-15 12:00:00
4,家事を自動化,タイマーとチェックリストで時短する方法。,Life,3,2024-01-20 18:30:00
5,TypeScript型設計,APIレスポンス型の作り方と落とし穴。,Tech,1,2024-01-25 10:00:00
6,週末の小旅行,電車で行けるリフレッシュプラン3選。,Life,2,2024-02-01 09:30:00
7,SSRとSSGの違い,ユースケースで選び分けるチェックリスト。,Tech,4,2024-02-05 13:45:00
8,習慣化のコツ,トリガーとご褒美で続ける仕組み。,Life,5,2024-02-10 06:50:00
9,SEOの超基礎,metadataとOGPをまず押さえる。,Tech,6,2024-02-14 16:00:00
10,読書メモ術,ハイライト→要約→実践の3段階。,Life,3,2024-02-20 21:10:00
11,はじめてのAPI,Route HandlersでJSONを返す。,Tech,1,2024-03-01 11:00:00
12,睡眠の質を上げる,カフェインと光のコントロール。,Life,2,2024-03-05 22:20:00
13,fetchの落とし穴,エラーハンドリングと再試行戦略。,Tech,4,2024-03-08 09:40:00
14,片付けの心理学,手放す基準と在庫の見える化。,Life,5,2024-03-10 08:05:00
15,Testing入門,JestとRTLで最初の3本を書く。,Tech,6,2024-03-15 15:00:00
16,休日ルーティン,運動→掃除→買い物で整える。,Life,3,2024-03-20 10:20:00
17,Context vs Zustand,規模で選ぶ状態管理の指針。,Tech,1,2024-03-25 13:10:00
18,学習ロードマップ,15分課題の回し方と記録術。,General,2,2024-03-28 07:55:00
19,旅の持ち物リスト,軽量化と現地調達のバランス。,General,5,2024-04-02 17:45:00
20,春の目標レビュー,四半期の振り返りテンプレート。,General,6,2024-04-05 09:05:00